instance,Kleopatra,Team_SB,OptiML,HustSmart,OrbertoHood,UPB,MTGBWS,HowToRoute,Kirchhoffslaw,hindsight,icd-double-threshold,icd-double-threshold180,icd-double-threshold600,icd-hamming-distance1,icd-hamming-distance2,icd-hamming-distance3
ORTEC-VRPTW-ASYM-57977bd6-d1-n281-k17,199921,202946,208758,208168,213219,210341,216306,211178,212022,190260.0,204052.2,203786.9,203008.3,214895.0,207925.1,204664.2
ORTEC-VRPTW-ASYM-92f528a9-d1-n304-k35,326272,338042,336244,337427,340012,337892,341071,351283,342333,314278.0,330696.9,330211.5,329277.4,337341.0,335334.4,334325.5
ORTEC-VRPTW-ASYM-51a6250b-d1-n243-k20,291958,297967,302296,298280,298217,299091,299614,304499,303316,272525.0,297362.5,294735.5,293619.5,300425.2,296653.9,297157.9
ORTEC-VRPTW-ASYM-e4d359d2-d1-n408-k35,403610,423882,417905,414694,425432,448016,422708,425328,422912,402502.0,416006.6,413135.9,413214.0,426290.4,415449.2,417971.9
ORTEC-VRPTW-ASYM-677e5123-d1-n337-k22,348764,349459,360436,355026,364533,359111,360428,368577,369724,327876.9,352403.7,351142.6,348256.2,359991.0,350603.0,354399.7
ORTEC-VRPTW-ASYM-278d7c48-d1-n425-k40,482054,480780,486074,486926,486380,498423,497400,497545,502935,440697.0,473027.0,474255.8,470627.2,483691.0,477036.1,478224.2
ORTEC-VRPTW-ASYM-a7adee82-d1-n231-k20,303724,309866,326908,305202,305816,306375,324006,319325,301404,290382.5,295442.5,294593.9,292711.5,301992.0,297533.8,296265.8
ORTEC-VRPTW-ASYM-f2c6b1ef-d1-n370-k19,211215,217919,219220,226145,224082,225820,232382,225199,231513,204317.0,220784.9,221194.0,221673.3,222712.4,223020.1,224804.5
ORTEC-VRPTW-ASYM-396d5dbb-d1-n248-k18,417690,426679,436824,436082,436269,451355,432228,452315,447017,406404.0,425494.1,424672.7,425748.3,440898.9,425644.3,426197.2
ORTEC-VRPTW-ASYM-adfbc42e-d1-n327-k20,311672,316716,316287,322284,321868,319234,322740,329301,327662,298637.0,313645.9,311104.6,311514.2,323865.0,317107.6,311688.8
ORTEC-VRPTW-ASYM-762abf35-d1-n222-k13,330520,337794,344224,343304,349339,356945,338027,346902,346498,327564.4,336840.1,339400.2,337478.9,347790.0,342088.6,334238.6
ORTEC-VRPTW-ASYM-318aa2a1-d1-n332-k21,372426,374043,364902,369553,371568,377807,380143,380121,377313,341018.0,365400.2,367324.4,367940.7,365321.0,363083.0,365717.6
ORTEC-VRPTW-ASYM-b6ee7d84-d1-n310-k18,260857,267845,267133,268985,266193,265323,274345,268984,272750,241970.0,260363.0,260465.3,260693.0,267990.3,263991.0,261973.9
ORTEC-VRPTW-ASYM-05362619-d1-n212-k20,443737,451546,448813,447174,448898,453072,455888,452084,461857,412648.0,437420.8,437241.0,439679.0,452087.6,443257.0,442834.7
ORTEC-VRPTW-ASYM-dcfe2527-d1-n304-k21,201943,205626,207987,211825,210872,209106,217452,211581,215217,188929.0,205422.6,204771.9,203654.8,209464.0,206434.6,203982.5
