instance,env_seed,agent_seed,cost,time,tw,method,arrival,category,fleet
C1_10_1,41,1,28664,600.97,TW4,hindsight,uni,C,1.0
C2_10_1,41,1,29197,601.0,TW4,hindsight,uni,C,1.0
R1_10_1,41,1,26867,601.07,TW4,hindsight,uni,R,1.0
R2_10_1,41,1,18267,600.96,TW4,hindsight,uni,R,1.0
RC1_10_1,41,1,24836,600.92,TW4,hindsight,uni,RC,1.0
RC2_10_1,41,1,17013,600.95,TW4,hindsight,uni,RC,1.0
C1_10_1,40,1,32291,601.01,TW4,hindsight,uni,C,1.0
C2_10_1,40,1,28751,601.1,TW4,hindsight,uni,C,1.0
R1_10_1,40,1,25863,600.97,TW4,hindsight,uni,R,1.0
R2_10_1,40,1,19426,601.0,TW4,hindsight,uni,R,1.0
RC1_10_1,40,1,25467,601.04,TW4,hindsight,uni,RC,1.0
RC2_10_1,40,1,18634,601.02,TW4,hindsight,uni,RC,1.0
C1_10_1,42,1,31199,600.98,TW4,hindsight,uni,C,1.0
C2_10_1,42,1,29406,601.05,TW4,hindsight,uni,C,1.0
R1_10_1,42,1,26917,601.03,TW4,hindsight,uni,R,1.0
R2_10_1,42,1,19100,600.94,TW4,hindsight,uni,R,1.0
RC1_10_1,42,1,26192,601.17,TW4,hindsight,uni,RC,1.0
RC2_10_1,42,1,19064,601.1,TW4,hindsight,uni,RC,1.0
C1_10_1,43,1,29755,601.0,TW4,hindsight,uni,C,1.0
C2_10_1,43,1,26604,600.96,TW4,hindsight,uni,C,1.0
R1_10_1,43,1,27609,600.97,TW4,hindsight,uni,R,1.0
R2_10_1,43,1,18557,600.86,TW4,hindsight,uni,R,1.0
RC1_10_1,43,1,26696,601.14,TW4,hindsight,uni,RC,1.0
RC2_10_1,43,1,20022,601.12,TW4,hindsight,uni,RC,1.0
C1_10_1,47,1,30126,601.02,TW4,hindsight,uni,C,1.0
C2_10_1,47,1,29541,601.09,TW4,hindsight,uni,C,1.0
R1_10_1,47,1,27394,601.07,TW4,hindsight,uni,R,1.0
R2_10_1,47,1,19346,600.96,TW4,hindsight,uni,R,1.0
RC1_10_1,47,1,26046,601.01,TW4,hindsight,uni,RC,1.0
RC2_10_1,47,1,18354,600.94,TW4,hindsight,uni,RC,1.0
C1_10_1,46,1,31153,600.95,TW4,hindsight,uni,C,1.0
C2_10_1,46,1,30240,601.0,TW4,hindsight,uni,C,1.0
R1_10_1,46,1,25586,600.96,TW4,hindsight,uni,R,1.0
R2_10_1,46,1,17559,600.96,TW4,hindsight,uni,R,1.0
RC1_10_1,46,1,25661,600.97,TW4,hindsight,uni,RC,1.0
RC2_10_1,46,1,18399,600.98,TW4,hindsight,uni,RC,1.0
C1_10_1,50,1,29571,600.94,TW4,hindsight,uni,C,1.0
C2_10_1,50,1,28025,600.98,TW4,hindsight,uni,C,1.0
R1_10_1,50,1,25728,600.95,TW4,hindsight,uni,R,1.0
R2_10_1,50,1,19746,600.97,TW4,hindsight,uni,R,1.0
RC1_10_1,50,1,24753,600.92,TW4,hindsight,uni,RC,1.0
RC2_10_1,50,1,16276,600.93,TW4,hindsight,uni,RC,1.0
C1_10_1,44,1,30497,600.99,TW4,hindsight,uni,C,1.0
C2_10_1,44,1,27376,601.03,TW4,hindsight,uni,C,1.0
R1_10_1,44,1,26922,601.01,TW4,hindsight,uni,R,1.0
R2_10_1,44,1,19754,600.98,TW4,hindsight,uni,R,1.0
RC1_10_1,44,1,25898,601.01,TW4,hindsight,uni,RC,1.0
RC2_10_1,44,1,18490,600.96,TW4,hindsight,uni,RC,1.0
C1_10_1,45,1,30823,600.95,TW4,hindsight,uni,C,1.0
C2_10_1,45,1,29143,601.0,TW4,hindsight,uni,C,1.0
R1_10_1,45,1,26076,600.98,TW4,hindsight,uni,R,1.0
R2_10_1,45,1,19161,601.02,TW4,hindsight,uni,R,1.0
RC1_10_1,45,1,25256,600.97,TW4,hindsight,uni,RC,1.0
RC2_10_1,45,1,16335,600.97,TW4,hindsight,uni,RC,1.0
C1_10_1,36,1,30599,600.9,TW4,hindsight,uni,C,1.0
C2_10_1,36,1,27890,601.02,TW4,hindsight,uni,C,1.0
R1_10_1,36,1,25255,600.98,TW4,hindsight,uni,R,1.0
R2_10_1,36,1,17478,600.94,TW4,hindsight,uni,R,1.0
RC1_10_1,36,1,24459,600.94,TW4,hindsight,uni,RC,1.0
RC2_10_1,36,1,16828,600.94,TW4,hindsight,uni,RC,1.0
C1_10_1,22,1,30974,601.03,TW4,hindsight,uni,C,1.0
C2_10_1,22,1,30488,600.99,TW4,hindsight,uni,C,1.0
R1_10_1,22,1,27435,601.04,TW4,hindsight,uni,R,1.0
R2_10_1,22,1,20705,601.08,TW4,hindsight,uni,R,1.0
RC1_10_1,22,1,26920,601.07,TW4,hindsight,uni,RC,1.0
RC2_10_1,22,1,18916,601.11,TW4,hindsight,uni,RC,1.0
C1_10_1,23,1,29620,600.99,TW4,hindsight,uni,C,1.0
C2_10_1,23,1,27965,600.95,TW4,hindsight,uni,C,1.0
R1_10_1,23,1,25975,600.98,TW4,hindsight,uni,R,1.0
R2_10_1,23,1,18880,600.97,TW4,hindsight,uni,R,1.0
